Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
320-0000-361.40-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST - RAN,,2018,$0
012-0000-313.40-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,TAXES,SALES TAX,AIRLINE FUEL TAX,,2018,$0
012-0000-336.30-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,STATE SALES TAX,,2018,$0
012-0000-336.30-50,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,STATE SALES TAX,AIRLINE FUEL TAX,2018,$0
252-0000-365.72-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,SPONSORSHIPS,,2018,$0
253-0000-365.72-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,SPONSORSHIPS,,2018,$0
443-0000-391.10-00,443,INFORMATION TECH FUND,INTERNAL SERVICE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2018,"$7,250"
421-0000-361.21-00,421,LIBRARY TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2018,$0
255-0000-314.10-00,255,SSA #7 MULTI-MODAL AREA,SPECIAL REVENUE FUNDS,,,TAXES,SELECTIVE SALES/USE TAXES,HOTEL/MOTEL TAX,,2018,$0
440-0000-341.36-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ER CONTRIBUTION-HDHP HSA,,2018,$0
440-0000-365.84-00,440,ACTIVE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE CONTRIB-HDHP HSA,,2018,$0
441-0000-341.36-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ER CONTRIBUTION-HDHP HSA,,2018,$0
012-0000-334.90-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2018,$0
441-0000-341.33-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ER CONTRIBUTIONS-CHOICE,,2018,$0
441-0000-341.34-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ER CONTRIBUTIONS-HDHP,,2018,$0
441-0000-365.62-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-CHOICE,,2018,$0
441-0000-365.82-00,441,RETIREE HEALTHCARE FUND,INTERNAL SERVICE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EE/RETIREE CONTRIB-HDHP,,2018,$0
254-0000-313.60-00,254,BUS DIST #1 AOC,SPECIAL REVENUE FUNDS,,,TAXES,SALES TAX,BUSINESS DISTRICT TAX,,2018,$0
261-0000-361.20-00,261,TIF #12 RIVERBEND COMMONS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2018,$0
449-0000-361.20-00,449,SANITATION FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2018,$0
243-0000-300.00-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2018,$0
110-0000-391.51-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM CAPITAL IMPROVEMENTS,,2018,$0
120-0000-391.51-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM CAPITAL IMPROVEMENTS,,2018,$0
450-0000-391.11-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM LIBRARY,,2018,$0
450-0000-391.12-00,450,DEBT SERVICE FUND,DEBT SERVICE FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PARKS,,2018,$0
236-0000-391.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2018,$0
024-0000-331.30-00,24,ABANDONED PROP ROUND 3,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,IHDA GRANT,,2018,$0
010-0000-300.00-00,10,GENERAL FUND,GENERAL FUND,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2018,"$76,530"
010-0000-311.10-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2018,"$9,731,210"
010-0000-311.10-10,10,GENERAL FUND,GENERAL FUND,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,SPECIAL DISTRIBUTIONS,2018,"$2,500"
010-0000-311.10-20,10,GENERAL FUND,GENERAL FUND,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,ROAD AND BRIDGE 810,2018,"$21,500"
010-0000-311.10-30,10,GENERAL FUND,GENERAL FUND,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,ROAD AND BRIDGE 811,2018,"$5,000"
010-0000-311.10-40,10,GENERAL FUND,GENERAL FUND,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,ROAD & BRIDGE 821,2018,$50
010-0000-313.30-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,SALES TAX,HOME RULE SALES TAX,,2018,"$3,370,840"
010-0000-314.10-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,SELECTIVE SALES/USE TAXES,HOTEL/MOTEL TAX,,2018,"$1,775,000"
010-0000-314.20-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,SELECTIVE SALES/USE TAXES,GASOLINE TAX,,2018,"$165,000"
010-0000-314.60-10,10,GENERAL FUND,GENERAL FUND,,,TAXES,SELECTIVE SALES/USE TAXES,UTILITY TAX,GAS,2018,"$200,000"
010-0000-314.60-20,10,GENERAL FUND,GENERAL FUND,,,TAXES,SELECTIVE SALES/USE TAXES,UTILITY TAX,ELECTRIC,2018,"$400,000"
010-0000-316.20-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,OTHER TAXES,VIDEO RENTAL TAX,,2018,"$38,000"
010-0000-316.30-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,OTHER TAXES,PREPARED FOOD/LIQUOR TAX,,2018,"$2,282,500"
010-0000-319.10-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,FRANCHISE FEES,CABLE FRANCHISE FEES,,2018,"$461,305"
010-0000-319.20-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,FRANCHISE FEES,TELECOMMUNICATION FEES,,2018,"$995,940"
010-0000-321.10-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,LIQUOR LICENSES,,2018,"$210,000"
010-0000-321.10-10,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,LIQUOR LICENSES,APPLICATION FEE,2018,"$30,000"
010-0000-321.15-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,SPECIAL EVENT FEE,,2018,"$17,000"
010-0000-321.20-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,VIDEO GAMING,,2018,"$24,000"
010-0000-321.25-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,RENTAL INSPECTION FEE,,2018,"$37,500"
010-0000-321.30-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,FOOD LICENSES,,2018,"$114,000"
010-0000-321.35-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,TATTOO PARLOR INSPECTIONS,,2018,"$1,000"
010-0000-321.50-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,TOBACCO DEALER LICENSE,,2018,"$6,100"
010-0000-321.60-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,CONTRACTOR LICENSES,,2018,"$34,000"
010-0000-321.70-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,REINSTATEMENT FEE,,2018,"$1,000"
010-0000-321.80-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,HAZARDOUS MATERIAL PERMIT,,2018,"$23,000"
010-0000-321.90-01,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,OTHER LICENSES,OTHER,2018,"$9,000"
010-0000-321.90-06,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,OTHER LICENSES,HEATING LICENSES,2018,"$5,000"
010-0000-321.90-07,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,OTHER LICENSES,ELECTRICAL LICENSES,2018,"$5,500"
010-0000-321.90-10,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,OTHER LICENSES,TRANSIENT MERCHANTS,2018,"$2,000"
010-0000-321.90-80,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,OTHER LICENSES,WRECKING CONTRACTOR,2018,$150
010-0000-321.95-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,BUSINESS LICENSE & PERMIT,PULL TABS/JAR GAMES,,2018,"$2,000"
010-0000-322.05-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,PLAN REVIEW FEES,,2018,"$110,000"
010-0000-322.10-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,LICENSING AGREEMENTS,,2018,"$3,800"
010-0000-322.15-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,INVESTIGATION FEE,,2018,"$3,000"
010-0000-322.20-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,BUILDING PERMITS,,2018,"$330,705"
010-0000-322.30-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,MECHANICAL PERMITS,,2018,"$40,000"
010-0000-322.40-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,ELECTRICAL PERMITS,,2018,"$30,000"
010-0000-322.50-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,PLUMBING PERMITS,,2018,"$30,000"
010-0000-322.55-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,SEWER CLEANING PERMIT,,2018,"$2,000"
010-0000-322.60-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,ALARM PERMITS,,2018,"$3,000"
010-0000-322.70-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,WRECKING PERMITS,,2018,"$2,500"
010-0000-322.80-00,10,GENERAL FUND,GENERAL FUND,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,EXPIRED CO DEPOSITS,,2018,$0
010-0000-334.20-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,FIRE TRAINING REIMBURSEME,,2018,"$20,000"
010-0000-334.30-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,POLICE TRAINING REIMBURSE,,2018,"$5,000"
010-0000-334.40-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,TRAFFIC SIGNAL REIMBURSEM,,2018,"$30,500"
010-0000-334.50-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,ROAD FUND MAINT AGREEMENT,,2018,"$59,000"
010-0000-334.60-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,SCHOOL DISTRICT REIMBRSMT,,2018,"$213,880"
010-0000-334.65-09,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,CIVIC CENTER REIMBURSEMNT,TAXSLAYER POLICE SERVICES,2018,"$100,000"
010-0000-334.65-10,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,CIVIC CENTER REIMBURSEMNT,TAXSLAYER EMS SERVICES,2018,"$33,000"
010-0000-334.90-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2018,"$99,800"
010-0000-336.30-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,STATE SALES TAX,,2018,"$10,706,835"
010-0000-336.40-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,AUTO RENTAL TAX,,2018,"$15,000"
010-0000-336.50-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,LOCAL USE TAX,,2018,"$1,074,030"
010-0000-336.60-10,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,INCOME TAXES,GENERAL INCOME TAXES,2018,"$4,474,400"
010-0000-336.60-20,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,INCOME TAXES,REPLACEMENT TAX,2018,"$1,952,695"
010-0000-336.60-30,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,INCOME TAXES,SOUTH MOLINE PPRT,2018,"$7,400"
010-0000-336.70-00,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,VIDEO GAMING TAX,,2018,"$166,650"
010-0000-341.10-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,FEES FOR COPIES,,2018,"$8,000"
010-0000-341.20-01,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ENGINEERING FEES,DRIVEWAY PERMITS,2018,"$8,500"
010-0000-341.20-05,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ENGINEERING FEES,AIRPORT TRAFFIC MAINT,2018,$500
010-0000-341.40-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,LAND DEVELOPMENT FEES,,2018,"$11,000"
010-0000-341.50-01,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,ADMINISTRATIVE SERVICES,2018,"$25,260"
010-0000-341.50-02,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,PERSONNEL SERVICES,2018,"$32,885"
010-0000-341.50-03,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,LEGAL SERVICES,2018,"$57,540"
010-0000-341.50-04,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,FINANCIAL SERVICES,2018,"$569,480"
010-0000-341.50-06,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,PUBLIC WORK SERVICES,2018,"$320,000"
010-0000-341.50-07,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,GRANT ADMINISTRATION,2018,"$291,530"
010-0000-341.60-10,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,FIRE PROTECTION SERVICE,PYROTECHNIC INSPCTN FEES,2018,"$4,000"
010-0000-341.80-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,OTHER ADMINISTRATIVE FEES,,2018,"$27,000"
010-0000-342.10-02,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,PUBLIC SAFETY,AMBULANCE CHARGES,AMBULANCE SERVICE FEES,2018,"$1,545,000"
010-0000-342.20-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,PUBLIC SAFETY,S.MOLINE FIRE PROTECTION,,2018,"$40,000"
010-0000-342.40-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,PUBLIC SAFETY,FIRST RESPONDER FEE,,2018,$0
010-0000-342.50-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,PUBLIC SAFETY,CITIZEN LIFT ASSIST FEE,,2018,"$16,200"
010-0000-344.20-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,PARKING SYSTEM,LOT RENTAL,,2018,"$185,335"
010-0000-344.25-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,PARKING SYSTEM,DAILY PARKING FEES,,2018,"$10,250"
010-0000-345.30-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,HEALTH,WEED CLEARING,,2018,"$15,000"
010-0000-351.10-00,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,COURT,CIRCUIT COURT,,2018,"$190,000"
010-0000-351.10-10,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,COURT,CIRCUIT COURT,MUNICES,2018,"$8,000"
010-0000-351.80-00,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,COURT,EXPIRED REGISTRATIONS,,2018,$0
010-0000-351.90-00,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,COURT,ORDINANCE VIOLATIONS,,2018,"$20,000"
010-0000-352.09-00,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,FALSE ALARMS,POLICE RESPONSE,,2018,"$25,000"
010-0000-352.10-00,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,FALSE ALARMS,FIRE RESPONSE,,2018,"$10,000"
010-0000-354.10-00,10,GENERAL FUND,GENERAL FUND,,,FINES AND FORFEITURES,PARKING FINES,PARKING VIOLATIONS,,2018,"$70,000"
010-0000-361.10-00,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2018,"$6,000"
010-0000-361.20-00,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2018,"$25,000"
010-0000-361.21-00,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2018,"$5,000"
010-0000-361.30-01,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2018,"$3,000"
010-0000-361.40-00,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST - RAN,,2018,$0
010-0000-363.10-00,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,LAND RENTAL,,2018,"$65,720"
010-0000-392.20-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2018,"$30,000"
010-0000-395.30-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2018,"$80,000"
010-0000-395.40-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2018,$0
010-0000-395.50-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,TRASH REMOVAL FEE,,2018,"$20,000"
010-0000-395.59-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SOUTHPARK MALL (POLICE),,2018,"$127,000"
010-0000-395.61-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SPECIAL EVENT SERVICES,,2018,"$15,000"
010-0000-395.64-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,MOLINE TOWNSHIP (PW),,2018,"$4,000"
010-0000-395.65-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE CLAIM REIMBURSMENT,,2018,"$5,000"
010-0000-395.69-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,911 SERVICES,,2018,"$82,345"
010-0000-395.72-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DEVELOPER SERVICES,,2018,"$2,000"
010-0000-313.40-00,10,GENERAL FUND,GENERAL FUND,,,TAXES,SALES TAX,AIRLINE FUEL TAX,,2018,$0
010-0000-336.30-50,10,GENERAL FUND,GENERAL FUND,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,STATE SALES TAX,AIRLINE FUEL TAX,2018,$0
010-0000-391.18-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM TOURISM FUND,,2018,$0
010-0000-391.23-00,10,GENERAL FUND,GENERAL FUND,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM CDBG,,2018,$0
010-0000-341.45-00,10,GENERAL FUND,GENERAL FUND,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,ZONING ADMINISTRATION FEE,,2018,$0
010-0000-361.50-00,10,GENERAL FUND,GENERAL FUND,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2018,$0
012-0000-300.00-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2019,$0
012-0000-313.40-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,TAXES,SALES TAX,AIRLINE FUEL TAX,,2019,$0
012-0000-316.10-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,TAXES,OTHER TAXES,AMUSEMENT TAX,,2019,"$275,000"
012-0000-334.90-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2019,$0
012-0000-336.30-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,STATE SALES TAX,,2019,$0
012-0000-336.30-50,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,STATE SALES TAX,AIRLINE FUEL TAX,2019,$0
012-0000-361.10-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2019,$0
012-0000-361.20-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2019,$0
012-0000-361.21-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2019,$0
012-0000-365.40-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2019,$0
012-0000-365.46-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,POLICE PROJECTS,,2019,"$149,000"
012-0000-365.79-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,ECONOMIC DEVELOPMENT,,2019,$0
012-0000-365.89-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EMS/FIRE DONATIONS,,2019,$0
012-0000-365.98-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,CABLE PROGRAMMING FUND,,2019,$0
012-0000-392.20-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2019,"$2,000"
012-0000-395.74-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,ABATEMENT REVENUES,,2019,$0
018-0000-300.00-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2019,"$223,900"
018-0000-361.10-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2019,$100
018-0000-361.20-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2019,"$1,000"
018-0000-361.21-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2019,$0
018-0000-361.50-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2019,"$25,000"
