Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
120-1522-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2019,"$4,390",,,,,,,,,,,,,,
120-1522-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2019,"$3,000",,,,,,,,,,,,,,
120-1522-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2019,"$75,000",,,,,,,,,,,,,,
120-1522-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2019,"$83,000",,,,,,,,,,,,,,
120-1522-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2019,"$20,510",,,,,,,,,,,,,,
120-1522-452.04-27,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,OTHER CONTRACTUAL SERVICE,2019,"$3,705",,,,,,,,,,,,,,
120-1522-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2019,"$263,290",,,,,,,,,,,,,,
120-1522-452.04-29,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2019,$0,,,,,,,,,,,,,,
120-1522-452.04-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,FACILITY MANAGEMENT,2019,"$41,950",,,,,,,,,,,,,,
120-1522-452.04-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VANDALISM REPAIRS,2019,"$1,000",,,,,,,,,,,,,,
120-1522-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2019,$100,,,,,,,,,,,,,,
120-1522-452.05-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,OTHER SERVICES,POSTAGE/SHIPPING,2019,$50,,,,,,,,,,,,,,
120-1522-452.05-05,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,OTHER SERVICES,MEMBERSHIPS/PUBLICATIONS,2019,$660,,,,,,,,,,,,,,
120-1522-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2019,"$32,725",,,,,,,,,,,,,,
120-1522-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2019,$100,,,,,,,,,,,,,,
120-1522-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2019,"$22,100",,,,,,,,,,,,,,
120-1522-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2019,"$45,000",,,,,,,,,,,,,,
120-1522-452.06-33,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,SUPPLIES,CHEMICAL SUPPLIES,2019,"$7,000",,,,,,,,,,,,,,
120-1522-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2019,"$10,250",,,,,,,,,,,,,,
120-1522-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2019,"$5,900",,,,,,,,,,,,,,
120-1522-452.08-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,IT CAPITAL CHARGEBACK,2019,$0,,,,,,,,,,,,,,
120-1522-452.10-85,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,PARK MAINTENANCE,RECREATION/CULTURE,PARK,INTERFUND TRANSFERS,TO DEBT SERVICE,2019,$0,,,,,,,,,,,,,,
120-1524-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2019,"$84,560",,,,,,,,,,,,,,
120-1524-452.01-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SALARIES/WAGES,LABOR SAVINGS CONTRA ACCT,2019,"-$2,535",,,,,,,,,,,,,,
120-1524-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2019,"$2,500",,,,,,,,,,,,,,
120-1524-452.01-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SALARIES/WAGES,STAND-BY PAY,2019,$0,,,,,,,,,,,,,,
120-1524-452.01-23,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2019,$0,,,,,,,,,,,,,,
120-1524-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2019,"$6,660",,,,,,,,,,,,,,
120-1524-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2019,"$6,095",,,,,,,,,,,,,,
120-1524-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2019,"$15,315",,,,,,,,,,,,,,
120-1524-452.02-51,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,EMPLOYER HSA CONTRIBUTION,2019,$0,,,,,,,,,,,,,,
120-1524-452.03-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,STATE SOFTBALL TOURNAMENT,2019,"$6,000",,,,,,,,,,,,,,
120-1524-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2019,"$164,145",,,,,,,,,,,,,,
120-1524-452.03-22,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2019,"$15,385",,,,,,,,,,,,,,
120-1524-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2019,"$5,550",,,,,,,,,,,,,,
120-1524-452.03-61,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2019,"$3,770",,,,,,,,,,,,,,
120-1524-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2019,"$1,240",,,,,,,,,,,,,,
120-1524-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2019,"$40,000",,,,,,,,,,,,,,
120-1524-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2019,"$67,805",,,,,,,,,,,,,,
120-1524-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2019,"$12,310",,,,,,,,,,,,,,
120-1524-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2019,"$5,900",,,,,,,,,,,,,,
120-1524-452.04-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,FACILITY MANAGEMENT,2019,$0,,,,,,,,,,,,,,
120-1524-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2019,"$15,500",,,,,,,,,,,,,,
120-1524-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2019,"$3,915",,,,,,,,,,,,,,
120-1524-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2019,$100,,,,,,,,,,,,,,
120-1524-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2019,"$95,000",,,,,,,,,,,,,,
120-1524-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2019,"$10,405",,,,,,,,,,,,,,
120-1524-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2019,"$20,000",,,,,,,,,,,,,,
120-1524-452.06-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,MEDICAL SUPPLIES,2019,$50,,,,,,,,,,,,,,
120-1524-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2019,$250,,,,,,,,,,,,,,
120-1524-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2019,$100,,,,,,,,,,,,,,
120-1524-452.06-66,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,SUPPLIES,VEHICLE FUEL/LUBRICANTS,2019,$500,,,,,,,,,,,,,,
120-1524-452.08-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,IT CAPITAL CHARGEBACK,2019,$0,,,,,,,,,,,,,,
120-1524-452.08-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,GREENVALLEY SPORTS CMPLX,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,PARK CONTRACTS,2019,$0,,,,,,,,,,,,,,
120-1525-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2019,"$123,085",,,,,,,,,,,,,,
120-1525-452.01-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,LABOR SAVINGS CONTRA ACCT,2019,"-$3,690",,,,,,,,,,,,,,
120-1525-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2019,"$2,000",,,,,,,,,,,,,,
120-1525-452.01-13,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,SCHEDULE DEVIATION PAY,2019,$0,,,,,,,,,,,,,,
120-1525-452.01-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,STAND-BY PAY,2019,$0,,,,,,,,,,,,,,
120-1525-452.01-17,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,SHIFT PAY,2019,$0,,,,,,,,,,,,,,
120-1525-452.01-23,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2019,$0,,,,,,,,,,,,,,
120-1525-452.01-24,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2019,$0,,,,,,,,,,,,,,
120-1525-452.01-27,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2019,$0,,,,,,,,,,,,,,
120-1525-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2019,"$9,570",,,,,,,,,,,,,,
120-1525-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2019,"$8,755",,,,,,,,,,,,,,
120-1525-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2019,"$10,180",,,,,,,,,,,,,,
120-1525-452.02-51,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,EMPLOYER HSA CONTRIBUTION,2019,"$1,000",,,,,,,,,,,,,,
120-1525-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2019,"$1,125",,,,,,,,,,,,,,
120-1525-452.03-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,STATE SOFTBALL TOURNAMENT,2019,$0,,,,,,,,,,,,,,
120-1525-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2019,"$10,085",,,,,,,,,,,,,,
120-1525-452.03-22,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2019,"$17,785",,,,,,,,,,,,,,
120-1525-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2019,"$5,550",,,,,,,,,,,,,,
120-1525-452.03-61,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2019,"$5,425",,,,,,,,,,,,,,
120-1525-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2019,"$14,175",,,,,,,,,,,,,,
120-1525-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2019,"$14,550",,,,,,,,,,,,,,
120-1525-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2019,$0,,,,,,,,,,,,,,
120-1525-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2019,"$4,000",,,,,,,,,,,,,,
120-1525-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2019,"$3,520",,,,,,,,,,,,,,
120-1525-452.04-29,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2019,$0,,,,,,,,,,,,,,
120-1525-452.04-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,FACILITY MANAGEMENT,2019,"$48,345",,,,,,,,,,,,,,
120-1525-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2019,$0,,,,,,,,,,,,,,
120-1525-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2019,"$8,000",,,,,,,,,,,,,,
120-1525-452.05-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,POSTAGE/SHIPPING,2019,"$6,700",,,,,,,,,,,,,,
120-1525-452.05-05,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,MEMBERSHIPS/PUBLICATIONS,2019,$810,,,,,,,,,,,,,,
120-1525-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2019,"$4,775",,,,,,,,,,,,,,
120-1525-452.05-10,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2019,$0,,,,,,,,,,,,,,
120-1525-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2019,"$3,915",,,,,,,,,,,,,,
120-1525-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2019,$300,,,,,,,,,,,,,,
120-1525-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2019,$0,,,,,,,,,,,,,,
120-1525-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2019,"$8,360",,,,,,,,,,,,,,
120-1525-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2019,$0,,,,,,,,,,,,,,
120-1525-452.06-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,MEDICAL SUPPLIES,2019,$0,,,,,,,,,,,,,,
120-1525-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2019,$0,,,,,,,,,,,,,,
120-1525-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2019,$0,,,,,,,,,,,,,,
120-1525-452.06-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,TRIP SUPPLIES,2019,"$9,700",,,,,,,,,,,,,,
120-1525-452.06-56,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,THE CELLAR SUPPLIES,2019,$500,,,,,,,,,,,,,,
120-1525-452.06-65,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,OTHER SUPPLIES/SERVICES,2019,"$1,500",,,,,,,,,,,,,,
120-1525-452.06-66,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,SUPPLIES,VEHICLE FUEL/LUBRICANTS,2019,$0,,,,,,,,,,,,,,
120-1525-452.08-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,IT CAPITAL CHARGEBACK,2019,$0,,,,,,,,,,,,,,
120-1525-452.08-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,RECREATION PROGRAMS,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,PARK CONTRACTS,2019,"$233,320",,,,,,,,,,,,,,
120-1526-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2019,"$33,350",,,,,,,,,,,,,,
120-1526-452.01-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SALARIES/WAGES,LABOR SAVINGS CONTRA ACCT,2019,"-$1,000",,,,,,,,,,,,,,
120-1526-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2019,"$1,000",,,,,,,,,,,,,,
120-1526-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2019,"$2,630",,,,,,,,,,,,,,
120-1526-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2019,"$2,405",,,,,,,,,,,,,,
120-1526-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2019,$0,,,,,,,,,,,,,,
120-1526-452.02-51,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,EMPLOYER HSA CONTRIBUTION,2019,$0,,,,,,,,,,,,,,
120-1526-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2019,$300,,,,,,,,,,,,,,
120-1526-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2019,"$98,385",,,,,,,,,,,,,,
120-1526-452.03-22,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2019,"$1,650",,,,,,,,,,,,,,
120-1526-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2019,"$4,000",,,,,,,,,,,,,,
120-1526-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2019,$200,,,,,,,,,,,,,,
120-1526-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2019,"$30,000",,,,,,,,,,,,,,
120-1526-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2019,"$7,000",,,,,,,,,,,,,,
120-1526-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2019,"$13,650",,,,,,,,,,,,,,
120-1526-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2019,"$1,300",,,,,,,,,,,,,,
120-1526-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2019,$0,,,,,,,,,,,,,,
