Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C),Hospital Size by Discharges,Hospital Type,Hospital Size by Total Revenue
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01223,6309,"Becket, MA",Becket,MA,Berkshire County,143,14925,210,0.00958124,0.680952381,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01202,6309,"Pittsfield, MA",Pittsfield,MA,Berkshire County,110,14925,132,0.007370184,0.833333333,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01236,6309,"Housatonic, MA",Housatonic,MA,Berkshire County,93,14925,195,0.006231156,0.476923077,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01254,6309,"Richmond, MA",Richmond,MA,Berkshire County,83,14925,102,0.005561139,0.81372549,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01266,6309,"West Stockbridge, MA",West Stockbridge,MA,Berkshire County,81,14925,110,0.005427136,0.736363636,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01257,6309,"Sheffield, MA",Sheffield,MA,Berkshire County,78,14925,206,0.005226131,0.378640777,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01262,6309,"Stockbridge, MA",Stockbridge,MA,Berkshire County,77,14925,125,0.005159129,0.616,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01256,6309,"Savoy, MA",Savoy,MA,Berkshire County,67,14925,83,0.004489112,0.807228916,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01270,6309,"Windsor, MA",Windsor,MA,Berkshire County,53,14925,79,0.003551089,0.670886076,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01253,6309,"Otis, MA",Otis,MA,Berkshire County,38,14925,95,0.002546064,0.4,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01085,6309,"Westfield, MA",Westfield,MA,Hampden County,37,14925,4443,0.002479062,0.008327707,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01222,6309,"Ashley Falls, MA",Ashley Falls,MA,Berkshire County,30,14925,67,0.00201005,0.447761194,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01245,6309,"Monterey, MA",Monterey,MA,Berkshire County,30,14925,58,0.00201005,0.517241379,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01255,6309,"Sandisfield, MA",Sandisfield,MA,Berkshire County,28,14925,61,0.001876047,0.459016393,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Berkshire Medical Center,Berkshire Health Systems,"Community, High Public Payer",01040,6309,"Holyoke, MA",Holyoke,MA,Hampden County,27,14925,6418,0.001809045,0.004206918,"10,000-19,999",Community High Public Payer Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01803,6546,"Burlington, MA",Burlington,MA,Middlesex County,1474,23534,2884,0.062632787,0.5110957,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01801,6546,"Woburn, MA",Woburn,MA,Middlesex County,1364,23534,4980,0.057958698,0.273895582,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01821,6546,"Billerica, MA",Billerica,MA,Middlesex County,1362,23534,3456,0.057873715,0.394097222,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01960,6546,"Peabody, MA",Peabody,MA,Essex County,1167,23534,7599,0.04958783,0.153572839,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01887,6546,"Wilmington, MA",Wilmington,MA,Middlesex County,684,23534,2592,0.029064332,0.263888889,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01915,6546,"Beverly, MA",Beverly,MA,Essex County,544,23534,5865,0.023115492,0.092753623,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01876,6546,"Tewksbury, MA",Tewksbury,MA,Middlesex County,517,23534,3802,0.021968216,0.135981063,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01730,6546,"Bedford, MA",Bedford,MA,Middlesex County,505,23534,1254,0.021458316,0.402711324,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02421,6546,"Lexington, MA",Lexington,MA,Middlesex County,463,23534,1280,0.019673664,0.36171875,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01867,6546,"Reading, MA",Reading,MA,Middlesex County,455,23534,2391,0.01933373,0.190296947,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02474,6546,"Arlington, MA",Arlington,MA,Middlesex County,446,23534,2420,0.018951304,0.184297521,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02420,6546,"Lexington, MA",Lexington,MA,Middlesex County,425,23534,1072,0.018058978,0.396455224,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01930,6546,"Gloucester, MA",Gloucester,MA,Essex County,415,23534,4095,0.017634061,0.101343101,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01923,6546,"Danvers, MA",Danvers,MA,Essex County,391,23534,4028,0.01661426,0.097070506,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02180,6546,"Stoneham, MA",Stoneham,MA,Middlesex County,356,23534,2923,0.01512705,0.121792679,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01890,6546,"Winchester, MA",Winchester,MA,Middlesex County,327,23534,1944,0.013894791,0.168209877,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01862,6546,"North Billerica, MA",North Billerica,MA,Middlesex County,324,23534,1199,0.013767315,0.270225188,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01824,6546,"Chelmsford, MA",Chelmsford,MA,Middlesex County,266,23534,2648,0.011302796,0.100453172,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01864,6546,"North Reading, MA",North Reading,MA,Middlesex County,265,23534,1507,0.011260304,0.175846052,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01880,6546,"Wakefield, MA",Wakefield,MA,Middlesex County,263,23534,2917,0.011175321,0.090161124,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01810,6546,"Andover, MA",Andover,MA,Essex County,233,23534,2923,0.009900569,0.079712624,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02155,6546,"Medford, MA",Medford,MA,Middlesex County,233,23534,5871,0.009900569,0.039686595,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02476,6546,"Arlington, MA",Arlington,MA,Middlesex County,224,23534,1340,0.009518144,0.167164179,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01938,6546,"Ipswich, MA",Ipswich,MA,Essex County,213,23534,1612,0.009050735,0.132133995,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01844,6546,"Methuen, MA",Methuen,MA,Essex County,204,23534,6162,0.00866831,0.033106134,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01845,6546,"North Andover, MA",North Andover,MA,Essex County,203,23534,3158,0.008625818,0.064281191,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01940,6546,"Lynnfield, MA",Lynnfield,MA,Essex County,199,23534,1314,0.008455851,0.151445967,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01970,6546,"Salem, MA",Salem,MA,Essex County,199,23534,4933,0.008455851,0.040340564,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01906,6546,"Saugus, MA",Saugus,MA,Essex County,191,23534,3460,0.008115917,0.055202312,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01826,6546,"Dracut, MA",Dracut,MA,Middlesex County,176,23534,3523,0.007478542,0.049957423,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01852,6546,"Lowell, MA",Lowell,MA,Middlesex County,176,23534,4670,0.007478542,0.037687366,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01720,6546,"Acton, MA",Acton,MA,Middlesex County,157,23534,1560,0.006671199,0.100641026,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02451,6546,"Waltham, MA",Waltham,MA,Middlesex County,150,23534,1781,0.006373757,0.084222347,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01886,6546,"Westford, MA",Westford,MA,Middlesex County,148,23534,1666,0.006288774,0.088835534,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01742,6546,"Concord, MA",Concord,MA,Middlesex County,141,23534,1455,0.005991332,0.096907216,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01830,6546,"Haverhill, MA",Haverhill,MA,Essex County,131,23534,4242,0.005566415,0.03088166,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01851,6546,"Lowell, MA",Lowell,MA,Middlesex County,129,23534,3443,0.005481431,0.037467325,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02148,6546,"Malden, MA",Malden,MA,Middlesex County,126,23534,6340,0.005353956,0.019873817,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01902,6546,"Lynn, MA",Lynn,MA,Essex County,111,23534,6477,0.00471658,0.017137564,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01913,6546,"Amesbury, MA",Amesbury,MA,Essex County,109,23534,1950,0.004631597,0.055897436,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02151,6546,"Revere, MA",Revere,MA,Suffolk County,105,23534,6557,0.00446163,0.016013421,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01854,6546,"Lowell, MA",Lowell,MA,Middlesex County,102,23534,3388,0.004334155,0.030106257,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01949,6546,"Middleton, MA",Middleton,MA,Essex County,102,23534,936,0.004334155,0.108974359,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02176,6546,"Melrose, MA",Melrose,MA,Middlesex County,100,23534,3001,0.004249171,0.033322226,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01966,6546,"Rockport, MA",Rockport,MA,Essex County,91,23534,875,0.003866746,0.104,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01832,6546,"Haverhill, MA",Haverhill,MA,Essex County,89,23534,2705,0.003781763,0.032902033,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01773,6546,"Lincoln, MA",Lincoln,MA,Middlesex County,88,23534,513,0.003739271,0.171539961,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01863,6546,"North Chelmsford, MA",North Chelmsford,MA,Middlesex County,86,23534,1034,0.003654287,0.083172147,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01921,6546,"Boxford, MA",Boxford,MA,Essex County,86,23534,709,0.003654287,0.121297602,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01904,6546,"Lynn, MA",Lynn,MA,Essex County,85,23534,2172,0.003611796,0.039134438,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01754,6546,"Maynard, MA",Maynard,MA,Middlesex County,84,23534,971,0.003569304,0.086508754,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01879,6546,"Tyngsboro, MA",Tyngsboro,MA,Middlesex County,80,23534,1049,0.003399337,0.076263108,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01841,6546,"Lawrence, MA",Lawrence,MA,Essex County,72,23534,6576,0.003059403,0.010948905,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01983,6546,"Topsfield, MA",Topsfield,MA,Essex County,72,23534,633,0.003059403,0.113744076,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01982,6546,"South Hamilton, MA",South Hamilton,MA,Essex County,71,23534,677,0.003016912,0.104874446,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02453,6546,"Waltham, MA",Waltham,MA,Middlesex County,69,23534,2576,0.002931928,0.026785714,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02149,6546,"Everett, MA",Everett,MA,Middlesex County,67,23534,4843,0.002846945,0.0138344,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01950,6546,"Newburyport, MA",Newburyport,MA,Essex County,66,23534,1908,0.002804453,0.034591195,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01835,6546,"Haverhill, MA",Haverhill,MA,Essex County,64,23534,1516,0.00271947,0.042216359,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01460,6546,"Littleton, MA",Littleton,MA,Middlesex County,63,23534,918,0.002676978,0.068627451,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01463,6546,"Pepperell, MA",Pepperell,MA,Middlesex County,63,23534,956,0.002676978,0.065899582,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02452,6546,"Waltham, MA",Waltham,MA,Middlesex County,63,23534,1149,0.002676978,0.054830287,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01741,6546,"Carlisle, MA",Carlisle,MA,Middlesex County,62,23534,356,0.002634486,0.174157303,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01850,6546,"Lowell, MA",Lowell,MA,Middlesex County,62,23534,2161,0.002634486,0.028690421,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01944,6546,"Manchester, MA",Manchester,MA,Essex County,60,23534,549,0.002549503,0.109289617,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01945,6546,"Marblehead, MA",Marblehead,MA,Essex County,60,23534,1810,0.002549503,0.033149171,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01905,6546,"Lynn, MA",Lynn,MA,Essex County,59,23534,3093,0.002507011,0.019075331,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01843,6546,"Lawrence, MA",Lawrence,MA,Essex County,58,23534,3234,0.002464519,0.017934447,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01969,6546,"Rowley, MA",Rowley,MA,Essex County,57,23534,618,0.002422028,0.09223301,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01833,6546,"Georgetown, MA",Georgetown,MA,Essex County,53,23534,811,0.002252061,0.065351418,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02478,6546,"Belmont, MA",Belmont,MA,Middlesex County,51,23534,1666,0.002167077,0.030612245,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01775,6546,"Stow, MA",Stow,MA,Middlesex County,50,23534,566,0.002124586,0.088339223,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01929,6546,"Essex, MA",Essex,MA,Essex County,46,23534,334,0.001954619,0.137724551,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01984,6546,"Wenham, MA",Wenham,MA,Essex County,46,23534,353,0.001954619,0.130311615,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02144,6546,"Somerville, MA",Somerville,MA,Middlesex County,46,23534,1465,0.001954619,0.031399317,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01776,6546,"Sudbury, MA",Sudbury,MA,Middlesex County,45,23534,1274,0.001912127,0.035321821,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02493,6546,"Weston, MA",Weston,MA,Middlesex County,43,23534,939,0.001827144,0.045793397,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01450,6546,"Groton, MA",Groton,MA,Middlesex County,42,23534,810,0.001784652,0.051851852,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,02472,6546,"Watertown, MA",Watertown,MA,Middlesex County,42,23534,3093,0.001784652,0.013579049,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01432,6546,"Ayer, MA",Ayer,MA,Middlesex County,41,23534,1075,0.00174216,0.038139535,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01952,6546,"Salisbury, MA",Salisbury,MA,Essex County,41,23534,1133,0.00174216,0.036187114,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01865,6546,"Nutting Lake, MA",Nutting Lake,MA,Middlesex County,39,23534,47,0.001657177,0.829787234,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01778,6546,"Wayland, MA",Wayland,MA,Middlesex County,38,23534,1110,0.001614685,0.034234234,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01907,6546,"Swampscott, MA",Swampscott,MA,Essex County,38,23534,1494,0.001614685,0.025435074,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01860,6546,"Merrimac, MA",Merrimac,MA,Essex County,36,23534,651,0.001529702,0.055299539,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01749,6546,"Hudson, MA",Hudson,MA,Middlesex County,35,23534,2116,0.00148721,0.016540643,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01453,6546,"Leominster, MA",Leominster,MA,Worcester County,34,23534,4601,0.001444718,0.007389698,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01420,6546,"Fitchburg, MA",Fitchburg,MA,Worcester County,31,23534,5182,0.001317243,0.005982246,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01834,6546,"Groveland, MA",Groveland,MA,Essex County,30,23534,726,0.001274751,0.041322314,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01719,6546,"Boxborough, MA",Boxborough,MA,Middlesex County,28,23534,340,0.001189768,0.082352941,"20,000-29,999",Teaching Hospital,More than $500M
Lahey Hospital & Medical Center,Lahey Health System,Teaching Hospital,01760,6546,"Natick, MA",Natick,MA,Middlesex County,27,23534,3276,0.001147276,0.008241758,"20,000-29,999",Teaching Hospital,More than $500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01109,6547,"Springfield, MA",Springfield,MA,Hampden County,1266,16720,4253,0.075717703,0.297672231,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01104,6547,"Springfield, MA",Springfield,MA,Hampden County,1214,16720,3556,0.072607656,0.341394826,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01108,6547,"Springfield, MA",Springfield,MA,Hampden County,1201,16720,3777,0.071830144,0.317977231,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01089,6547,"West Springfield, MA",West Springfield,MA,Hampden County,1094,16720,3651,0.065430622,0.299643933,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01020,6547,"Chicopee, MA",Chicopee,MA,Hampden County,1083,16720,4081,0.064772727,0.265376133,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01040,6547,"Holyoke, MA",Holyoke,MA,Hampden County,1046,16720,6418,0.062559809,0.162979121,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01001,6547,"Agawam, MA",Agawam,MA,Hampden County,792,16720,2504,0.047368421,0.31629393,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01013,6547,"Chicopee, MA",Chicopee,MA,Hampden County,753,16720,3151,0.045035885,0.238971755,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01105,6547,"Springfield, MA",Springfield,MA,Hampden County,742,16720,2087,0.04437799,0.35553426,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01085,6547,"Westfield, MA",Westfield,MA,Hampden County,703,16720,4443,0.042045455,0.158226424,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01056,6547,"Ludlow, MA",Ludlow,MA,Hampden County,516,16720,2228,0.030861244,0.231597846,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01028,6547,"East Longmeadow, MA",East Longmeadow,MA,Hampden County,512,16720,2058,0.03062201,0.248785228,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01107,6547,"Springfield, MA",Springfield,MA,Hampden County,476,16720,1743,0.0284689,0.273092369,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01118,6547,"Springfield, MA",Springfield,MA,Hampden County,470,16720,1690,0.028110048,0.278106509,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01119,6547,"Springfield, MA",Springfield,MA,Hampden County,455,16720,1628,0.027212919,0.279484029,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01151,6547,"Indian Orchard, MA",Indian Orchard,MA,Hampden County,313,16720,1172,0.018720096,0.267064846,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01030,6547,"Feeding Hills, MA",Feeding Hills,MA,Hampden County,306,16720,1150,0.018301435,0.266086957,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01095,6547,"Wilbraham, MA",Wilbraham,MA,Hampden County,284,16720,1501,0.016985646,0.189207195,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01106,6547,"Longmeadow, MA",Longmeadow,MA,Hampden County,275,16720,1440,0.016447368,0.190972222,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01129,6547,"Springfield, MA",Springfield,MA,Hampden County,225,16720,733,0.013456938,0.306957708,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01075,6547,"South Hadley, MA",South Hadley,MA,Hampshire County,209,16720,1937,0.0125,0.107898813,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
Mercy Medical Center,Not Applicable,"Community, High Public Payer",01077,6547,"Southwick, MA",Southwick,MA,Hampden County,139,16720,920,0.008313397,0.151086957,"10,000-19,999",Community High Public Payer Hospital,$250M-$500M
